                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.80626,                 1.1847,                 1.3022,                0.91176,                0.90775,                0.95001,                0.84638,                 0.5325,                0.48076,                 0.9388,               0.005545,               0.005545,               0.005545
                     47,                0.80183,                 1.1619,                 1.2994,                0.90552,                0.90201,                0.94924,                 0.8463,                0.51487,                0.48858,                0.92122,               0.005446,               0.005446,               0.005446
                     48,                0.80394,                 1.1458,                 1.2995,                 0.9039,                0.89716,                0.94329,                 0.8406,                 0.5372,                0.50602,                0.93862,               0.005347,               0.005347,               0.005347
                     49,                0.80404,                 1.1425,                 1.3001,                0.92759,                0.89495,                0.95425,                0.85207,                0.52368,                0.48258,                0.93189,               0.005248,               0.005248,               0.005248
                     50,                0.79419,                 1.1307,                 1.2933,                0.90909,                0.90201,                 0.9449,                0.84677,                0.51925,                0.48315,                0.92372,               0.005149,               0.005149,               0.005149
                     51,                0.79623,                 1.1266,                 1.2942,                0.92516,                0.90338,                0.94816,                0.84656,                0.51979,                0.48052,                0.93142,                0.00505,                0.00505,                0.00505
                     52,                0.79652,                 1.1084,                 1.2991,                0.92694,                0.88201,                 0.9454,                0.83889,                0.53719,                 0.4994,                0.94022,               0.004951,               0.004951,               0.004951
                     53,                0.78545,                  1.099,                 1.2887,                0.93954,                0.89526,                0.94831,                0.85265,                0.49741,                0.46957,                0.91363,               0.004852,               0.004852,               0.004852
                     54,                0.78962,                 1.0913,                 1.2914,                0.91161,                0.91106,                0.95332,                0.85331,                0.50914,                0.45989,                0.91627,               0.004753,               0.004753,               0.004753
                     55,                0.79087,                 1.0835,                 1.2928,                0.91209,                0.91622,                0.95445,                0.85562,                0.50759,                 0.4595,                 0.9221,               0.004654,               0.004654,               0.004654
                     56,                 0.7819,                  1.063,                 1.2829,                0.92866,                0.90911,                0.95454,                0.85375,                0.50645,                0.45375,                0.91466,               0.004555,               0.004555,               0.004555
                     57,                0.78601,                 1.0644,                  1.286,                0.92156,                0.91313,                0.95622,                0.85852,                 0.5039,                0.45209,                0.91407,               0.004456,               0.004456,               0.004456
                     58,                0.77443,                 1.0535,                 1.2802,                0.91013,                0.93002,                0.95986,                0.86193,                0.50214,                0.44822,                 0.9109,               0.004357,               0.004357,               0.004357
                     59,                0.76773,                 1.0347,                 1.2789,                0.90452,                0.92617,                0.95435,                0.85358,                0.51763,                0.44411,                0.91835,               0.004258,               0.004258,               0.004258
                     60,                0.77346,                 1.0344,                 1.2808,                0.93136,                0.90115,                0.95574,                0.85683,                0.50288,                0.45046,                0.90946,               0.004159,               0.004159,               0.004159
                     61,                0.77309,                 1.0343,                  1.278,                0.93693,                0.91457,                0.96026,                0.86069,                0.50573,                0.44229,                0.91936,                0.00406,                0.00406,                0.00406
                     62,                0.77195,                 1.0189,                 1.2767,                 0.9158,                0.93046,                0.95875,                0.85693,                 0.5093,                0.44008,                0.91648,               0.003961,               0.003961,               0.003961
                     63,                0.77228,                 1.0164,                 1.2778,                0.92185,                0.91884,                0.95678,                0.85712,                0.50695,                0.44863,                0.91752,               0.003862,               0.003862,               0.003862
                     64,                0.76091,                 1.0001,                 1.2705,                0.93805,                0.91157,                0.95871,                0.86094,                0.50696,                0.44545,                0.91746,               0.003763,               0.003763,               0.003763
                     65,                0.76958,                 1.0031,                 1.2775,                0.92109,                0.92188,                0.95807,                0.85835,                 0.5069,                0.44922,                0.91334,               0.003664,               0.003664,               0.003664
                     66,                0.75748,                0.98688,                  1.271,                0.92324,                0.92734,                0.95698,                0.85736,                0.50668,                0.43904,                0.91228,               0.003565,               0.003565,               0.003565
                     67,                0.76308,                0.99307,                 1.2706,                0.92496,                0.92383,                0.95808,                0.85737,                0.50862,                0.43856,                0.91292,               0.003466,               0.003466,               0.003466
                     68,                0.75677,                0.97019,                  1.266,                0.91685,                0.93433,                0.95827,                0.85892,                 0.5079,                0.43604,                0.91165,               0.003367,               0.003367,               0.003367
                     69,                0.75865,                0.95736,                 1.2668,                0.92201,                0.92733,                 0.9581,                0.86061,                0.50545,                0.43151,                0.91105,               0.003268,               0.003268,               0.003268
                     70,                0.75603,                0.95602,                  1.264,                0.90292,                0.94176,                0.95743,                0.85723,                0.50706,                 0.4307,                0.91158,               0.003169,               0.003169,               0.003169
                     71,                 0.7498,                0.95518,                  1.268,                0.93245,                0.92011,                0.95621,                0.85702,                0.50382,                0.43249,                0.90793,                0.00307,                0.00307,                0.00307
                     72,                0.74848,                0.93086,                 1.2638,                0.92295,                0.92994,                0.95749,                0.86086,                0.49995,                0.42419,                0.90664,               0.002971,               0.002971,               0.002971
                     73,                0.74476,                0.92165,                 1.2567,                0.93031,                0.92716,                0.95839,                0.86414,                0.49595,                0.42258,                0.90155,               0.002872,               0.002872,               0.002872
                     74,                0.74328,                0.92613,                 1.2585,                0.91277,                0.93538,                0.95823,                0.86516,                0.48998,                0.42178,                0.89323,               0.002773,               0.002773,               0.002773
                     75,                0.74455,                0.93238,                 1.2581,                0.91461,                0.93022,                0.95547,                0.86325,                0.49304,                  0.426,                0.89725,               0.002674,               0.002674,               0.002674
                     76,                 0.7397,                0.91587,                 1.2564,                0.91268,                0.92516,                 0.9557,                0.86172,                0.49329,                0.42423,                0.89656,               0.002575,               0.002575,               0.002575
                     77,                0.72615,                0.88946,                 1.2458,                0.91775,                0.92402,                0.95568,                0.86401,                0.49232,                0.41983,                0.89434,               0.002476,               0.002476,               0.002476
                     78,                0.72579,                0.89404,                  1.249,                0.92863,                   0.92,                 0.9561,                0.86293,                0.49349,                0.41893,                0.89398,               0.002377,               0.002377,               0.002377
